[33032, Queen of the Underworld, Gail Godwin, 2.89, 345483197, 9.78035E+12, eng, 368, 541, 100, 1/30/2007, Ballantine Books]
[40385, The Master Mind of Mars (Barsoom #6), Edgar Rice Burroughs, 3.85, 345334248, 9.78035E+12, eng, 160, 3949, 80, 4/12/1979, Ballantine Books]
[21278, Caught Stealing (Hank Thompson  #1), Charlie Huston, 4.04, 345464788, 9.78035E+12, eng, 240, 4797, 431, 5/31/2005, Ballantine Books]
[21276, A Dangerous Man (Hank Thompson  #3), Charlie Huston, 4.07, 034548133X, 9.78035E+12, eng, 286, 2735, 162, 9/19/2006, Ballantine Books]
[21200, More Classic Italian Cooking, Marcella Hazan, 4.48, 345314034, 9.78035E+12, eng, 465, 64, 3, 7/12/1984, Ballantine Books]
[29923, The Last Full Measure (The Civil War Trilogy  #3), Jeff Shaara, 4.24, 345434811, 9.78035E+12, eng, 640, 13438, 314, 5/2/2000, Ballantine Books]
[29922, Gone for Soldiers: A Novel of the Mexican War, Jeff Shaara, 4.14, 345427513, 9.78035E+12, eng, 424, 191, 18, 7/3/2001, Ballantine Books]
[29920, Rise to Rebellion, Jeff Shaara, 4.18, 345427548, 9.78035E+12, eng, 492, 5745, 383, 6/29/2004, Ballantine Books]
[29919, Jeff Shaara's Civil War Battlefields: Discovering America's Hallowed Ground, Jeff Shaara, 4.11, 345464885, 9.78035E+12, eng, 288, 584, 59, 4/25/2006, Ballantine Books]
[29917, The Rising Tide (World War II: 1939-1945  #1), Jeff Shaara, 4.11, 034546141X, 9.78035E+12, eng, 576, 5709, 390, 11/7/2006, Ballantine Books]
[27303, A History of God: The 4 000-Year Quest of Judaism  Christianity  and Islam, Karen Armstrong, 3.87, 345384563, 9.78035E+12, eng, 496, 1343, 144, 8/9/1994, Ballantine Books]
[27309, The Battle for God: A History of Fundamentalism, Karen Armstrong, 3.93, 345391691, 9.78035E+12, eng, 480, 5677, 254, 1/30/2001, Ballantine Books]
[27313, The Analects of Confucius: A Philosophical Translation, Confucius/Henry Rosemont Jr./Roger T. Ames, 3.83, 345434072, 9.78035E+12, eng, 352, 180, 16, 9/7/1999, Ballantine Books]
[40483, Story of O (Story of O #1), Pauline Réage/Sabine d'Estree, 3.32, 345301110, 9.78035E+12, eng, 199, 12840, 997, 5/12/1981, Ballantine Books]
[26175, To the Last Man: A Novel of the First World War, Jeff Shaara, 4.22, 345461363, 9.78035E+12, eng, 636, 4809, 315, 8/30/2005, Ballantine Books]
[10607, Black House (The Talisman  #2), Stephen King/Peter Straub, 4.01, 034547063X, 9.78035E+12, eng, 688, 46428, 1220, 9/30/2003, Ballantine Books]
[44012, Shield of Thunder (Troy  #2), David Gemmell, 4.36, 345477014, 9.78035E+12, ale, 512, 102, 16, 3/27/2007, Ballantine Books]
